data.latitude,data.longitude,data.type,data.name,data.number,data.postal_code,data.street,data.confidence,data.region,data.region_code,data.county,data.locality,data.administrative_area,data.neighbourhood,data.country,data.country_code,data.continent,data.label
40.02866,-75.36745,locality,Radnor Township,NA,NA,NA,1,Pennsylvania,PA,Delaware County,Radnor Township,Radnor Township,NA,United States,USA,North America,"Radnor Township, PA, USA"
40.02866,-75.36745,locality,Radnor Township,NA,NA,NA,1,Pennsylvania,PA,Delaware County,Radnor Township,Radnor Township,NA,United States,USA,North America,"Radnor Township, PA, USA"
57.222921,-135.293483,locality,Sitka,NA,NA,NA,1,Alaska,AK,Sitka City and Borough,Sitka,NA,NA,United States,USA,North America,"Sitka, AK, USA"
57.222921,-135.293483,locality,Sitka,NA,NA,NA,1,Alaska,AK,Sitka City and Borough,Sitka,NA,NA,United States,USA,North America,"Sitka, AK, USA"
26.879641,80.569820000000007,region,Uttar Pradesh,NA,NA,NA,1,Uttar Pradesh,UP,NA,NA,NA,NA,India,IND,Asia,"Uttar Pradesh, India"
26.879641,80.569820000000007,region,Uttar Pradesh,NA,NA,NA,1,Uttar Pradesh,UP,NA,NA,NA,NA,India,IND,Asia,"Uttar Pradesh, India"
52.209881,0.121971,locality,Cambridge,NA,NA,NA,1,Cambridgeshire,NA,Cambridgeshire,Cambridge,NA,NA,United Kingdom,GBR,Europe,"Cambridge, England, United Kingdom"
42.38036,-71.115987,locality,Cambridge,NA,NA,NA,1,Massachusetts,MA,Middlesex County,Cambridge,Cambridge,NA,United States,USA,North America,"Cambridge, MA, USA"
58.33747,-112.384858,country,Canada,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Canada,CAN,North America,Canada
-17.834016,177.972004,country,Fiji,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Fiji,FJI,Oceania,Fiji
63.252357,27.276469,country,Finland,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Finland,FIN,Europe,Finland
29.784753,-95.361416,locality,Houston,NA,NA,NA,1,Texas,TX,Harris County,Houston,NA,NA,United States,USA,North America,"Houston, TX, USA"
29.784753,-95.361416,locality,Houston,NA,NA,NA,1,Texas,TX,Harris County,Houston,NA,NA,United States,USA,North America,"Houston, TX, USA"
48.51667,66.76667,locality,Kazakhstan,NA,NA,NA,0.6,Qaraghandy,QG,Ulytauskiy,Kazakhstan,NA,NA,Kazakhstan,KAZ,Asia,"Kazakhstan, QG, Kazakhstan"
-41.448042,173.932028,region,Marlborough Region,NA,NA,NA,0.3,Marlborough Region,MA,NA,NA,NA,NA,New Zealand,NZL,Oceania,"Marlborough Region, New Zealand"
42.350032,-71.546806,locality,Marlborough,NA,NA,NA,1,Massachusetts,MA,Middlesex County,Marlborough,Marlborough,NA,United States,USA,North America,"Marlborough, MA, USA"
27.15,85.9,locality,Nepal,NA,NA,NA,0.6,Three,TH,Sindhuli,Nepal,NA,NA,Nepal,NPL,Asia,"Nepal, TH, Nepal"
40.860198,-77.838617,region,Pennsylvania,NA,NA,NA,1,Pennsylvania,PA,NA,NA,NA,NA,United States,USA,North America,"Pennsylvania, USA"
